,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
0017,-0.7844505382297319,-0.27604399747756875,-0.8379922043361547,0.48776536785818003,-0.08672293718407945,-0.48819032547933844,0.8951790393666421,-0.18427038463086526,-0.37009375574169945,-0.2812970489482059,-0.10939400084905862,-9.353044860545135e-20,3.0385765149230485e-17,-7.6690917028903e-18,-2.9062664806749245e-19,2.1444494028141076e-18,0.0
0029,-0.73723376358909,-1.4145774582772124,-0.6921664817935265,0.20020146937287214,-0.4127066619293619,0.18824091727025166,-0.07944415181015181,0.09198193734370713,-0.017153516742187,0.004150122801200976,-0.09126177996325494,-1.0884014848939147e-16,6.535091131916969e-17,4.48064377059251e-18,1.6712253838860982e-18,4.488595404503969e-18,0.0
0001,-0.3695963321807094,-0.016818043671116313,-0.5709064640097927,0.3336027416163334,-0.4206262331631573,0.29308535421808196,0.03631587540008257,0.09824924439831811,0.11011918684881361,-0.1604292500489527,0.3270013468894588,-3.512635473889595e-18,-8.928638020422874e-18,-6.08403691364659e-19,-6.504117694871768e-19,-2.305694057023087e-19,0.0
0015,-0.2152909287298025,-0.5396698427048263,1.2184496580959743,0.7621274344557001,0.2769689939350789,-2.9147359128033368,-0.9872625198095905,-0.6412211133948161,-0.4621403092626465,-0.34917428716907406,-0.24406377001553622,-1.7429123856404802e-16,2.078478008030999e-17,2.701937411884407e-17,5.922317334971017e-18,-1.6865013929772577e-18,0.0
0014,-1.706929009147535,-0.6904524425591742,-0.650109764374674,0.8896470448390598,-0.0543479217091104,-1.478808139697933,0.2334442910128227,-0.13717312770369772,0.518456597564228,0.9934072720286594,0.10765327264039189,-1.8550046762674658e-17,1.0699429518991026e-17,3.2599615112155465e-17,4.994613924307309e-18,2.4899868359434056e-19,0.0
0028,1.1109314248024886,-1.6319926860073108,2.090598309264094,-0.35968344839209115,0.54685985920646,-2.403644965359022,-0.7721840669507377,1.6042848001514725,-0.4717440871655339,-0.2868743754619685,0.3704464125300063,-4.296172679084098e-17,-1.718039544210872e-17,-3.625438425738e-17,-4.417909426881408e-18,-2.7308830236049e-18,-0.0
0113,-0.7263466349578068,-1.1883709775503117,-0.7369508295483478,0.03567229932434112,-0.3622881251010355,0.15523308977442538,-0.08017410258745615,0.07114537867148232,-0.0037167858756560423,0.005460121221186122,-0.07486773305022383,-9.279273343814318e-17,-1.5608094019278912e-17,3.717102668130623e-18,-2.5882176890423436e-18,5.399181297876279e-19,0.0
0107,-1.1349931756211336,-0.534289492936323,-0.7542738825788454,0.4736795252068279,0.024483540843019343,-0.666311700253107,0.9793901713368772,-0.24822245138068372,-0.06159669330010772,0.1206279291985225,0.1221270624969011,-1.0714462892347478e-16,1.4942420869477998e-17,2.4317857006550256e-18,6.252896357414649e-19,7.143179572001362e-19,-0.0
0098,-0.7644515851672973,-1.9800936600944667,-0.5802056124064716,0.611524394494201,-0.5387530040001787,0.2707604860098166,-0.07761927486689212,0.14407333402426797,-0.05074534390851499,0.0008751267512386398,-0.13224689724583322,-1.2319957211205493e-16,-2.734649537925629e-17,4.9850639724938774e-18,-3.543816705022197e-18,-4.2532693482752107e-19,0.0
0067,-1.2967468072741657,3.6532669196196896,-0.8570335996451648,-2.8657407567785698,0.7186682772585585,-0.3205836332321502,0.05659044211315175,-0.2971207312019243,0.13715281183889455,-0.3122280866171201,0.17960622697275078,3.155566354973694e-17,1.0924777724153918e-16,-1.2805542765608142e-17,4.9711647912757e-18,8.114933669881792e-18,-0.0
