,Free recall (immediate),Free recall (delayed),Naturalistic recall (immediate),Naturalistic recall (delayed),Foreign language flashcards (immediate),Foreign language flashcards (delayed),Spatial learning (intercept),Spatial learning (slope)
0060,0.734375,0.4375,0.8314158365576948,0.908547309564504,,,0.6996365627326029,0.5307403895218291
0061,0.484375,0.296875,0.8417733013065153,0.924931720440344,0.7,,0.6483258445774461,0.5130767606929215
0062,0.796875,0.5,0.5772421755374825,0.7746367463668574,0.9,0.4,0.6302942499627104,0.6844980586784412
0063,0.34375,0.171875,0.8523552849942854,0.8173168739965929,0.5,0.7,0.9659197331018302,0.0
0064,0.484375,0.40625,0.8876721300619324,0.8715641925051327,,,0.6638218040231786,0.6492965203862661
0065,0.59375,0.171875,0.6472353723568369,0.8251430361290195,0.8,0.8,0.7089434606561178,0.6000377167164614
0066,0.75,0.4375,0.8030965457193285,0.7083198913653741,,,0.671259993665977,0.743131513050465
0067,0.609375,0.390625,0.9293248764166966,0.8795406462144915,,,0.7469872916241677,0.5437999669220203
0068,0.65625,0.25,0.936570206031176,0.7950645067167768,0.9,0.9,0.7301260010263468,0.5261825826200982
0069,0.34375,0.234375,0.9181667003734112,0.6991374464948721,,,0.863556009426666,0.3161121324278536
0070,0.65625,0.359375,0.8971569381168198,0.8061951362506066,0.8,0.9,0.7122914027892683,0.4243065355036752
0071,0.78125,0.640625,0.9342540641211912,0.927675468918258,,,0.7389858460839605,0.5537581457868119
0072,0.671875,0.359375,0.8677453818863184,0.6711937219966065,,,0.7781226512198662,0.6606541321235997
0073,0.75,0.390625,0.8956716241084095,0.9201826359605206,,,0.8373955355052287,0.3094281791076357
0074,0.984375,0.75,0.8493522208287587,0.941771776679347,,0.9,0.632963660927693,0.7567719024553125
0075,0.625,0.21875,0.8813040459490494,0.8652401987093655,,0.9,0.6898336401651552,0.6714014772834929
0076,0.484375,0.40625,0.7882340028715622,0.847817401639665,0.6,0.4,0.7357747349796127,0.6195044474127525
0077,0.828125,0.484375,0.9434137721167116,0.8938124446639865,,,0.3492423349480715,1.0
0078,0.53125,0.359375,0.877033770859872,0.9302924821454392,0.8,,0.7427171454780683,0.473393481124467
0079,0.65625,0.40625,0.8616487440799242,0.9023099014995176,,,0.7821086815929469,0.5486338142049441
0080,0.765625,0.21875,0.7829029763441644,0.7920222665345239,,0.9,0.4840599005051276,0.8763914592924102
0081,0.734375,0.25,0.8725237274865952,0.8949893398996799,0.4,0.3,0.6999602012091892,0.7406068071193752
0082,0.28125,0.140625,0.9118500978564014,0.8714097819128985,0.7,0.5,0.8334689809175247,0.3955816342343726
0083,0.65625,0.265625,0.7438359678058643,0.8691966665584031,0.6,0.6,0.6421350628218774,0.7012133871654667
0084,0.484375,0.0,0.8761605847472752,,0.9,0.7,0.6350314502475729,0.816882429075273
0085,0.59375,0.25,,,0.8,0.2,0.0,0.871091456288458
0086,0.640625,0.484375,0.712621453748912,0.8933191018945309,0.9,0.9,0.4789596880886639,0.890997477829472
0087,0.671875,0.453125,0.8377194233916445,0.714613434596876,,,0.9563396451511844,0.228888668474819
0088,0.78125,0.515625,0.914323857756051,0.9273127439627632,,0.9,0.8739477370815482,0.3843136607518106
0089,0.734375,0.515625,0.7580976333144309,0.7555562868464378,,,0.7427699206422789,0.6072376458263088
0090,1.0,0.765625,0.8136311794659221,0.8942295364081028,,,0.8476838011388238,0.4731633536965945
0091,0.34375,0.171875,0.8258194908923125,0.6571231170788459,0.9,0.8,0.643549472092286,0.3510170379078186
0092,0.453125,0.15625,0.8847323733433088,0.8992234048018646,,0.6,0.5994957820163284,0.6492300737173626
0093,0.59375,0.125,0.88188947401557,0.7324620814072127,0.9,,0.8569598139800318,0.3409815734673321
0094,0.578125,0.40625,0.920748775281009,0.8669516846867392,,0.9,0.7202193266666955,0.6751297515108468
0095,0.453125,0.21875,0.905089230143109,0.8308081635219959,0.9,0.7,0.6206106134829955,0.6556238986946894
0096,0.4375,0.125,0.8674549604295895,0.6929995402718141,0.5,0.8,0.5867539686251662,0.5154741495601678
0097,0.546875,0.453125,0.918144614859246,0.8415409479874884,0.8,0.9,0.6611816753644814,0.5683039980658505
0098,0.65625,0.0625,0.9999506970874104,,0.7,0.7,0.6104359901994516,0.7566873260088933
0099,0.65625,0.328125,0.758847321709718,0.8408902393863344,,0.5,0.6369415221949773,0.6245177533304603
0100,0.546875,0.3125,0.9123965433467184,0.9123266634092764,0.9,0.5,0.757442341720789,0.4432064204775022
0101,0.65625,0.265625,0.8156558702967818,0.7276161601541586,,,0.7364473326905547,0.6141896155583814
0102,0.234375,0.078125,0.8523670860266206,,0.5,0.1,0.3778463207381779,0.526555678786495
0103,0.546875,0.390625,0.5667608551470945,0.7320827025436588,,,0.6331355704183986,0.5221307705928236
0104,0.40625,0.296875,0.90132665237143,0.7720519733538778,,0.9,0.7413140213383357,0.5071043707201656
0105,0.796875,0.59375,0.9052626685716612,0.9277956351858916,,,0.8193908048828343,0.2942731575649618
0106,0.6875,0.421875,0.7413745497808356,0.910680484244381,,,0.753339546093308,0.5725760785138113
0107,0.859375,0.46875,0.9540962640052376,0.9947443445242052,0.6,0.3,0.7275058635071096,0.5049547001062201
0108,0.640625,0.421875,0.9042523180163744,0.9272962556829926,0.8,,0.7449974913099076,0.4978802811278814
0109,0.28125,0.140625,0.7284427576393834,0.7155472358620458,0.3,0.5,0.2548448513534506,0.7611348429464712
0110,0.640625,0.375,0.6498094478030669,0.780077296278729,0.8,0.7,0.5766164568770661,0.6179239540010186
0111,0.453125,0.015625,0.8743505038395114,0.7688642717732914,0.9,0.7,0.7847391097353371,0.468242832244316
0112,0.328125,0.0625,,0.9982270942068344,0.6,0.5,0.6129793206478824,0.8162898340119441
0113,0.875,0.0,0.7842341344818745,,,0.9,1.0,0.1655705912964497
